Device Time, 0-100kph Time(s),0100,011c obd standards vehicle conforms to,0120,0140,0160,0901 vin message count,0902,0903,0904,0905,0906,0907,0908,0909,090A,090B,Absolute Throttle Position B(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Boost Pressure Commanded A(psi),Boost Pressure Commanded B(psi),Boost Pressure Sensor A(psi),Boost Pressure Sensor B(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Charge air cooler temperature (CACT)(°C),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)(£/m),Cost per mile/km (Trip)(£/m),CO₂ in g/km (Average)(g/km),Distance to empty (Estimated)(miles),Distance travelled with MIL/CEL lit(miles),EGR Commanded(%),Engine Coolant Temperature(°C),Engine Load(%),Engine RPM(rpm),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Mass Air Flow Rate(g/s),O2 Sensor4 Voltage(V),Odometer(from ECU)(miles),pids supported 01-20,service 09 pids supported,Torque(Nm),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
27-Jan-2022 12:44:04.565,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,9,0,0,-,-,94.2745285,-,-,-,12,14.79384899,0,-,-,152,48,-,0.09384918,11.10000038,-
27-Jan-2022 12:44:06.563,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,9,0,0,-,-,94.2745285,-,-,-,12,14.79384899,0,-,-,152,48,-,0.09384918,11.10000038,-
27-Jan-2022 12:44:08.563,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,9,0,0,-,-,94.2745285,-,-,-,12,14.79384899,0,-,-,152,48,-,0.09384918,11.10000038,-
27-Jan-2022 12:44:10.563,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,9,0,0,-,-,94.2745285,-,-,-,12,14.79384899,0,-,-,152,48,-,0.09384918,11.10000038,-
27-Jan-2022 12:44:12.564,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,9,0,0,-,-,94.2745285,-,-,-,12,14.79384899,0,-,-,152,48,-,0.09384918,11.10000038,-
27-Jan-2022 12:44:14.563,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,9,0,0,-,-,94.2745285,-,-,-,12,14.79384899,0,-,-,152,48,-,0.09384918,11.10000038,-
27-Jan-2022 12:44:16.563,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,9,0,0,-,-,94.2745285,-,-,-,12,14.79384899,0,-,-,152,48,-,0.09384918,11.10000038,-
27-Jan-2022 12:44:18.563,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,9,0,0,-,-,94.2745285,-,-,-,12,14.79384899,0,-,-,152,48,-,0.09384918,11.10000038,-
27-Jan-2022 12:44:20.563,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,9,0,0,-,-,94.2745285,-,-,-,12,14.79384899,0,-,-,152,48,-,0.09384918,11.10000038,-
27-Jan-2022 12:44:22.563,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,9,0,0,-,-,94.2745285,-,-,-,12,14.79384899,0,-,-,152,48,-,0.09384918,11.10000038,-
27-Jan-2022 12:44:24.563,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,9,0,0,-,-,94.2745285,-,-,-,12,14.79384899,0,-,-,152,48,-,0.09384918,11.10000038,-
